,title,star_rating,total_votes,aired,season
0,Piccolo the Super-Namek,8.2,1336,27 Sep. 1999,-1
1,The Arrival of Raditz,7.8,1741,13 Sep. 1996,1
2,The World's Strongest Team,8.0,1581,20 Sep. 1996,1
3,Gohan's Hidden Powers,8.1,1543,27 Sep. 1996,1
4,Goku's Unusual Journey,8.1,1536,10 Oct. 1996,1
5,Gohan's Metamorphosis,7.8,1490,11 Oct. 1996,1
6,Gohan Makes a Friend,7.6,1492,18 Oct. 1996,1
7,Trouble on Arlia,7.5,1496,25 Oct. 1996,1
8,Home for Infinite Losers,7.3,1482,1 Nov. 1996,1
9,Princess Snake's Hospitality,7.4,1487,8 Nov. 1996,1
10,Escape from Piccolo,7.3,1472,14 Sep. 1998,1
11,Showdown in the Past,7.6,1467,15 Nov. 1996,1
12,The End of Snake Way,7.8,1469,3 Jan. 1997,1
13,A Fight Against Gravity... Catch Bubbles!,7.8,1471,10 Jan. 1997,1
14,The Legend of the Saiyans,7.8,1465,17 Jan. 1997,1
15,A Black Day for Planet Earth,7.9,1484,24 Jan. 1997,1
16,The Battle Begins... Goku Where Are You?,7.8,1482,1 Feb. 1997,1
17,The Saibamen Strike,7.9,1483,8 Feb. 1997,1
18,Nappa... The Invincible?,8.0,1517,15 Feb. 1997,1
19,Tien Goes All Out!!,8.1,1474,22 Feb. 1997,1
20,Time's Up!,7.9,1472,12 Apr. 1997,1
21,The Return of Goku,8.1,1502,19 Apr. 1997,1
22,Goku Strikes Back,8.2,1485,26 Apr. 1997,1
23,Goku vs. Vegeta... a Saiyan Duel!,8.5,1608,3 May 1997,1
24,Vegeta... Saiyan Style!,8.2,1496,10 May 1997,1
25,Stop Vegeta Now!,8.2,1504,17 May 1997,1
26,The Battle Ends,8.4,1529,24 May 1997,1
27,A New Goal... Namek!,7.6,1423,24 May 1997,2
28,Journey to Namek,7.6,1421,13 Sep. 1997,2
29,Friends or Foes?,7.4,1415,20 Sep. 1997,2
30,Hunt for a Dragonball,7.6,1404,20 Sep. 1997,2
31,Who's Who?!,7.7,1397,27 Sep. 1997,2
32,Touchdown on Namek,8.0,1433,27 Sep. 1997,2
33,Face-Off on Namek,8.0,1456,3 Oct. 1997,2
34,The Ruthless Frieza,8.0,1437,4 Oct. 1997,2
35,The Nameks Versus Frieza,8.2,1448,11 Oct. 1997,2
36,Escape from Dodoria,8.0,1455,11 Oct. 1997,2
37,Secrets Revealed,8.1,1439,18 Oct. 1997,2
38,A Collision Course,8.0,1413,18 Oct. 1997,2
39,Stay Away from Frieza,8.2,1440,25 Oct. 1997,2
40,Zarbon Transformed,7.9,1707,25 Oct. 1997,2
41,The Eldest Namek,8.1,1429,1 Nov. 1997,2
42,Get Vegeta!,8.1,1432,1 Nov. 1997,2
43,Vegeta Revived,8.0,1426,8 Nov. 1997,2
44,A Heavy Burden,7.9,1431,8 Nov. 1997,2
45,Immortality Denied,8.1,1434,15 Nov. 1997,2
46,Big Trouble for Bulma,7.3,1379,31 Jan. 1998,2
47,Scramble for the Dragon Balls!,7.4,1380,7 Feb. 1998,2
48,Arrival of the Ginyu Force,8.1,1396,7 Feb. 1998,2
49,Elite Fighters of the Universe... The Ginyu Force,8.0,1384,14 Feb. 1998,2
50,Time Tricks and Body Binds,7.9,1396,14 Feb. 1998,2
51,No Refuge from Recoome,8.0,1443,18 May 1998,2
52,Enter Goku,8.3,1455,23 May 1998,2
53,Goku... Super Saiyan?,8.5,1541,23 May 1998,2
54,Ginyu Assault,8.1,1521,13 Sep. 1999,3
55,Incredible Force!,8.0,1504,13 Sep. 1999,3
56,Frieza Approaches,7.9,1486,14 Sep. 1999,3
57,Goku is Ginyu and Ginyu is Goku,8.2,1416,14 Sep. 1999,3
58,Calling the Eternal Dragon,7.9,1387,16 Sep. 1999,3
59,"Gohan, Defeat Your Dad!!",8.1,1422,17 Sep. 1999,3
60,Captain Ginyu... The Frog,7.9,1389,20 Sep. 1999,3
61,Password is Porunga,7.9,1382,21 Sep. 1999,4
62,Piccolo's Return,8.1,1388,22 Sep. 1999,4
63,The Fusion,8.0,1392,23 Sep. 1999,4
64,Fighting Power: One Million??,8.2,1454,24 Sep. 1999,4
65,Gohan Attacks,8.3,1419,27 Sep. 1999,4
66,Déjà vu,8.0,1397,28 Sep. 1999,4
67,Frieza's Second Transformation,8.0,1393,29 Sep. 1999,4
68,Another Transformation,8.1,1397,30 Sep. 1999,4
69,Dende's Demise,7.9,1390,1 Oct. 1999,4
70,The Renewed Goku,8.1,1405,4 Oct. 1999,4
71,The End of Vegeta,8.6,1539,5 Oct. 1999,4
72,The Ultimate Battle,8.2,1493,6 Oct. 1999,4
73,Clash of the Super Powers,8.0,1437,7 Oct. 1999,4
74,Frieza's Boast,7.7,1408,8 Oct. 1999,4
75,Bold and Fearless,7.8,1414,11 Oct. 1999,4
76,Embodiment of Fire,7.9,1447,12 Oct. 1999,4
77,Trump Card,7.7,1538,13 Oct. 1999,4
78,Keep the Chance Alive,7.9,1509,14 Oct. 1999,4
79,Power of the Spirit,8.0,1442,15 Oct. 1999,4
80,Transformed at Last,9.1,2051,18 Oct. 1999,4
81,Explosion of Anger,8.4,1545,19 Oct. 1999,4
82,Namek's Destruction,8.2,1457,20 Oct. 1999,4
83,A Final Attack,8.1,1437,21 Oct. 1999,4
84,Approaching Destruction,8.0,1437,22 Oct. 1999,4
85,Gohan Returns,7.9,1416,25 Oct. 1999,4
86,The Last Wish,8.0,1396,26 Oct. 1999,4
87,Duel on a Vanishing Planet,8.2,1452,27 Oct. 1999,4
88,Pathos of Frieza,8.2,1454,28 Oct. 1999,4
89,Frieza Defeated!!,8.4,1498,29 Oct. 1999,4
90,Mighty Blast of Rage,8.1,1448,1 Nov. 1999,4
91,Namek's Explosion... Goku's End?,8.0,1437,2 Nov. 1999,4
92,Goku's Alive!,8.1,1419,3 Nov. 1999,4
93,The Heavens Tremble,7.3,1384,8 Apr. 2000,5
94,Black Fog of Terror,7.6,1388,15 Apr. 2000,5
95,Battle in Kami's Lookout,7.5,1373,22 Apr. 2000,5
96,Fight with Piccolo,7.5,1382,29 Apr. 2000,5
97,Call for Restoration,7.6,1367,6 May 2000,5
98,Suicidal Course,7.5,1368,13 May 2000,5
99,Extreme Measures,7.5,1365,20 May 2000,5
100,The World Awakens,7.5,1369,27 May 2000,5
101,Brief Chance for Victory,7.6,1367,27 May 2000,5
102,Krillin's Proposal,6.8,1363,1 Sep. 2000,5
103,Frieza's Counterattack,8.0,1410,4 Sep. 2000,6
104,The Mysterious Youth,8.2,1418,5 Sep. 2000,6
105,Another Super Saiyan?,8.6,1548,6 Sep. 2000,6
106,Welcome Back Goku,8.1,1371,7 Sep. 2000,6
107,Mystery Revealed,8.4,1428,8 Sep. 2000,6
108,Goku's Special Technique,7.2,1352,11 Sep. 2000,6
109,Z Warriors Prepare,7.5,1351,12 Sep. 2000,6
110,Goku's Ordeal,7.3,1374,13 Sep. 2000,6
111,The Androids Appear,8.0,1374,14 Sep. 2000,7
112,A Handy Trick,8.0,1377,15 Sep. 2000,7
113,Double Trouble for Goku,8.1,1379,16 Sep. 2000,7
114,Upgrade to Super Saiyan,8.4,1439,19 Sep. 2000,7
115,The Secret of Dr. Gero,8.2,1391,20 Sep. 2000,7
116,More Androids?!,7.8,1324,21 Sep. 2000,7
117,Follow Dr. Gero,7.8,1315,22 Sep. 2000,7
118,Nightmare Comes True,7.7,1319,25 Sep. 2000,7
119,Goku's Assassin,7.8,1329,26 Sep. 2000,7
120,Deadly Beauty,7.8,1378,27 Sep. 2000,7
121,No Match for the Androids,7.8,1332,28 Sep. 2000,7
122,Last Ditch Effort,7.3,1310,29 Sep. 2000,7
123,Closing In,7.2,1306,2 Oct. 2000,7
124,Unwelcome Discovery,7.4,1309,3 Oct. 2000,7
125,Seized with Fear,7.5,1320,4 Oct. 2000,8
126,The Reunion,7.6,1301,5 Oct. 2000,8
127,Borrowed Powers,7.7,1311,6 Oct. 2000,8
128,His Name Is Cell,7.7,1306,9 Oct. 2000,8
129,Piccolo's Folly,7.6,1303,10 Oct. 2000,8
130,Laboratory Basement,7.4,1294,11 Oct. 2000,8
131,Our Hero Awakens,7.5,1315,12 Oct. 2000,8
132,Time Chamber,7.4,1311,13 Oct. 2000,8
133,The Monster Is Coming,7.7,1301,16 Oct. 2000,8
134,He's Here,7.8,1305,17 Oct. 2000,8
135,Up to Piccolo,7.8,1305,18 Oct. 2000,8
136,Silent Warrior,7.9,1308,19 Oct. 2000,8
137,"Say Goodbye, 17",7.8,1309,20 Oct. 2000,8
138,Sacrifice,7.9,1336,23 Oct. 2000,9
139,Saiyans Emerge,7.7,1311,24 Oct. 2000,9
140,Super Vegeta,8.2,1402,25 Oct. 2000,9
141,Bow to the Prince,8.0,1354,26 Oct. 2000,9
142,Hour of Temptation,7.6,1306,27 Oct. 2000,9
143,Krillin's Decision,7.5,1304,30 Oct. 2000,9
144,The Last Defense,7.4,1325,31 Oct. 2000,9
145,Cell Is Complete,7.4,1352,1 Nov. 2000,9
146,Vegeta Must Pay,7.3,1353,2 Nov. 2000,9
147,Trunks Ascends,7.4,1349,3 Nov. 2000,9
148,Saving Throw,7.2,1351,6 Nov. 2000,9
149,Ghosts from Tomorrow,7.4,1351,7 Nov. 2000,9
150,The Cell Games,7.2,1348,8 Nov. 2000,9
151,What Is the Tournament?,6.9,1340,9 Nov. 2000,10
152,The Doomsday Broadcast,6.9,1340,13 Nov. 2000,10
153,Meet Me in the Ring,7.0,1344,14 Nov. 2000,10
154,No Worries Here,7.2,1342,15 Nov. 2000,10
155,A Girl Named Lime,7.0,1337,16 Nov. 2000,10
156,Memories of Gohan,6.9,1335,20 Nov. 2000,10
