,mal_id,url,title,title_japanese,title_romanji,aired,score,filler,recap,forum_url,poll_votes
0,1,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/1,The New Threat,ミニ悟空はおぼっちゃま！ボク悟飯です。,Mini Gokuu wa Obotchama! Boku Gohan Desu. ,1989-04-26T00:00:00+00:00,4.2,False,False,https://myanimelist.net/forum/?topicid=13008,190
1,2,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/2,Reunions,史上最強の戦士は悟空の兄だった！,Shijou Saikyou no Senshi wa Gokuu no Ani Datta! ,1989-05-03T00:00:00+00:00,4.4,False,False,https://myanimelist.net/forum/?topicid=13009,128
2,3,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/3,Unlikely Alliance,やった！これが地上最強のコンビだ！,Yatta! Kore ga Chijou Saikyou no Combo Da! ,1989-05-10T00:00:00+00:00,4.5,False,False,https://myanimelist.net/forum/?topicid=13010,92
3,4,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/4,Piccolo's Plan,ピッコロの切り札！悟飯は泣きむしクン,Pikkolo no Kirifuda! Gohan wa Nakimushikun ,1989-05-17T00:00:00+00:00,4.6,False,False,https://myanimelist.net/forum/?topicid=13011,77
4,5,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/5,Gohan's Rage,悟空死す！ラストチャンスは一度だけ,Gokuu Shisu! Last Chance wa Ichido Dake ,1989-05-24T00:00:00+00:00,4.5,False,False,https://myanimelist.net/forum/?topicid=13007,79
5,6,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/6,No Time Like the Present,エンマ様もビックリあの世でファイト,Enmasama mo Bikkuri: Ano Yo de Fight ,1989-06-07T00:00:00+00:00,4.5,False,False,https://myanimelist.net/forum/?topicid=13052,70
6,7,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/7,Day 1,恐竜とサバイバル！悟飯のツライ修行,Kyouryuu to Survival! Gohan no Tsurai Shugyou ,1989-06-14T00:00:00+00:00,4.2,False,False,https://myanimelist.net/forum/?topicid=13057,63
7,8,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/8,Gohan Goes Bananas!,月の輝く夜に大変身！悟飯パワーの秘密,Tsuki no Kagayaku Yoru ni Daihenshin! Gohan Power no Himitsu ,1989-06-21T00:00:00+00:00,4.4,False,False,https://myanimelist.net/forum/?topicid=13083,62
8,9,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/9,The Strangest Robot,ゴメンねロボットさん砂漠に消えた涙。,Gomen ne Robot-san Sabaku ni Kieta Namida. ,1989-06-28T00:00:00+00:00,4.2,True,False,https://myanimelist.net/forum/?topicid=13161,69
9,10,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/10,A New Friend,泣くな悟飯！はじめての闘い,Naku na Gohan! Hajimete no Tatakai ,1989-07-05T00:00:00+00:00,4.2,True,False,https://myanimelist.net/forum/?topicid=13188,71
